Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Marqus Blakely,(N/A),"SF,Flx",637,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Keljin Blevins,(N/A),"PG,Flx",638,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,(N/A),"SG,SF,Flx",639,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Brown Jr.,(N/A),"PG,Flx",640,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Cavanaugh,(N/A),"PF,C,Flx",641,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonzie Colson,(N/A),"SF,Flx",642,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Cousins,(N/A),"SG,Flx",643,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Dekker,(N/A),"SF,PF,Flx",644,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luol Deng,(N/A),"SF,PF,Flx",645,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Dorsey,(N/A),"PG,Flx",646,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,(N/A),"PG,SG,Flx",647,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosta Koufos,(N/A),"PF,C,Flx",648,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Leuer,(N/A),"PF,C,Flx",649,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Maye,(N/A),"PF,Flx",650,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
